sep=\t
Module Resource Usage Distribution Estimates
Generated at: Mar 21, 2025 12:30:12

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
    +xefx_fifo_ctl:efx_fifo_ctl_6d3dd258b084434fa4aa3936f7d6386c(SYNC_CLK=0,WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROG_EMPTY_NEGATE=2,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     90(54)	     17(17)	     46(14)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9,ACTIVE_LOW=0)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9,ACTIVE_LOW=0)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
  +FIFO_BLOCKS[1].ff:async_fifo                             	      94(0)	      17(0)	      60(0)	     3(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_6d3dd258b084434fa4aa3936f7d6386c(DEPTH=256,DATA_WIDTH=48,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      94(0)	      17(0)	      60(0)	     3(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_6d3dd258b084434fa4aa3936f7d6386c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_6d3dd258b084434fa4aa3936f7d6386c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_6d3dd258b084434fa4aa3936f7d6386c(WR_DEPTH=256,RD_DEPTH=256,WDATA_WIDTH=48,RDATA_WIDTH=48,WADDR_WIDTH=8,RADDR_WIDTH=8,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	     14(14)	     3(3)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_6d3dd258b084434fa4aa3936f7d6386c(SYNC_CLK=0,WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROG_EMPTY_NEGATE=2,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     90(54)	     17(17)	     46(14)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9,ACTIVE_LOW=0)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9,ACTIVE_LOW=0)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
 +rvc:rah_version_check                                     	       3(3)	       0(0)	       5(5)	     0(0)	     0(0)	
 +re:rah_encoder(DATA_WIDTH=48,TOTAL_APPS=2)                	   403(125)	     145(5)	   522(336)	    12(0)	     0(0)	
  +patgen:video_gen(syncPulse_h=112,backPorch_h=248,activeVideo_h=1280,frontPorch_h=48,syncPulse_v=3,backPorch_v=38,activeVideo_v=1024)	     46(46)	     32(32)	     43(43)	     0(0)	     0(0)	
  +FIFO_BLOCKS_EN[0].middle_fifo:async_fifo                 	      94(0)	      27(0)	      49(0)	     3(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_6d3dd258b084434fa4aa3936f7d6386c(DEPTH=256,DATA_WIDTH=48,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      94(0)	      27(0)	      49(0)	     3(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_6d3dd258b084434fa4aa3936f7d6386c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_6d3dd258b084434fa4aa3936f7d6386c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_6d3dd258b084434fa4aa3936f7d6386c(WR_DEPTH=256,RD_DEPTH=256,WDATA_WIDTH=48,RDATA_WIDTH=48,WADDR_WIDTH=8,RADDR_WIDTH=8,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     3(3)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_6d3dd258b084434fa4aa3936f7d6386c(SYNC_CLK=0,WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROG_EMPTY_NEGATE=2,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     90(54)	     27(27)	     49(17)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9,ACTIVE_LOW=0)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9,ACTIVE_LOW=0)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
  +FIFO_BLOCKS_EN[0].fe:synchronous_fifo                    	      20(0)	      27(0)	      15(0)	     3(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_2ab6177972eb442a86d66f7a0066bbb9(SYNC_CLK=1,DEPTH=256,DATA_WIDTH=48,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      20(0)	      27(0)	      15(0)	     3(0)	     0(0)	
    +genblk2.efx_resetsync_a_rst:efx_resetsync_2ab6177972eb442a86d66f7a0066bbb9(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_2ab6177972eb442a86d66f7a0066bbb9(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_2ab6177972eb442a86d66f7a0066bbb9(WR_DEPTH=256,RD_DEPTH=256,WDATA_WIDTH=48,RDATA_WIDTH=48,WADDR_WIDTH=8,RADDR_WIDTH=8,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     3(3)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_2ab6177972eb442a86d66f7a0066bbb9(WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROG_EMPTY_NEGATE=2,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     18(18)	     27(27)	     15(15)	     0(0)	     0(0)	
  +FIFO_BLOCKS_EN[1].middle_fifo:async_fifo                 	      94(0)	      27(0)	      49(0)	     3(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_6d3dd258b084434fa4aa3936f7d6386c(DEPTH=256,DATA_WIDTH=48,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROGRAMMABLE_EMPTY="NONE",PROG_EMPTY_ASSERT=0,PROG_EMPTY_NEGATE=2)	      94(0)	      27(0)	      49(0)	     3(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_6d3dd258b084434fa4aa3936f7d6386c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_6d3dd258b084434fa4aa3936f7d6386c(ACTIVE_LOW=0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	
     +active_high.efx_resetsync_active_high:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	       2(2)	       0(0)	       0(0)	     0(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_6d3dd258b084434fa4aa3936f7d6386c(WR_DEPTH=256,RD_DEPTH=256,WDATA_WIDTH=48,RDATA_WIDTH=48,WADDR_WIDTH=8,RADDR_WIDTH=8,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     3(3)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_6d3dd258b084434fa4aa3936f7d6386c(SYNC_CLK=0,WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=254,PROG_FULL_NEGATE=254,PROG_EMPTY_NEGATE=2,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	     90(54)	     27(27)	     49(17)	     0(0)	     0(0)	
     +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +async_clk.xrd2wr_addr_sync:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9,ACTIVE_LOW=0)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=3)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=2)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
     +async_clk.wr2rd_bin2gray:efx_fifo_bin2gray_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
     +async_clk.wr2rd_addr_sync:efx_asyncreg_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9,ACTIVE_LOW=0)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
     +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=6)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_6d3dd258b084434fa4aa3936f7d6386c(WIDTH=4)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	
